Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
palindrome;palindrome;palindrome;0;0;0;0;0;1;4;0;0;0;2;0;0;0;0;0;0;1;0
type variable;type variable;type variable;0;1;0;1;6;0;0;0;1;0;1;14;3;0;0;0;0;0;0
substitution;substitution;substitution;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;0;0;0
undefinedness;undefinedness;undefinedness;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
ord;ord;ord;0;0;1;0;0;0;0;0;1;0;0;17;1;0;7;0;0;0;0
infix version of a function;infix version of a function;infix version of a function;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prelude;prelude;prelude;13;12;1;6;27;12;6;5;6;1;1;9;0;7;0;4;0;0;0
algebraic type;algebraic type;algebraic type;0;0;0;13;0;0;0;0;0;1;0;0;38;1;3;2;1;1;0
hiding;hiding;hiding;0;2;0;0;1;0;0;0;0;0;0;1;0;5;5;0;0;1;0
behaviour;behaviour;behaviour;0;3;0;1;1;3;1;4;1;7;8;2;2;0;4;1;2;3;27
folding;folding;folding;0;0;0;0;0;1;0;0;18;2;0;0;0;0;1;0;0;0;12
reverse;reverse;reverse;0;0;0;0;5;2;0;7;3;11;2;0;0;1;3;7;1;0;3
constraint;constraint;constraint;0;0;0;1;5;0;0;0;0;1;0;30;2;0;2;0;0;3;0
membe;membe;membe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pythagoras's theorem;pythagoras ' s theorem;pythagoras's theorem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
simulation;simulation;simulation;0;0;0;0;0;0;0;0;0;0;0;0;7;0;18;18;0;0;0
type error;type error;type error;3;1;0;5;0;0;0;0;0;2;0;7;0;0;2;0;0;1;0
Coding.hs;Coding.hs;Coding.hs;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
understanding program;understanding program;understanding programs, understanding program;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
nothing;nothing;nothing;0;1;0;0;1;0;3;1;0;0;1;2;13;0;6;1;1;3;0
lookuptable;lookuptable;lookuptable;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
context;context;context;3;1;2;0;0;0;1;0;1;2;0;27;1;1;5;2;0;2;0
constructor;constructor;constructor;0;3;0;23;0;11;0;0;0;1;0;3;35;3;8;1;7;11;0
action;action;actions, action;1;0;0;0;2;2;25;0;0;1;0;4;1;1;1;0;7;1;0
properties as function;property a function;properties as functions, properties as function;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
sum type;sum type;sum type;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
curry;curry;curry;0;0;0;1;0;0;0;0;0;17;0;2;0;0;0;0;0;0;0
pattern;pattern;pattern;0;2;5;24;1;57;2;1;14;2;9;7;5;0;11;29;0;4;3
software;software;software;2;0;1;0;0;0;0;1;2;0;0;0;3;1;1;0;0;0;0
conditional expression;conditional expression;conditional expression;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
