"Term","Overview","Interactive.mode","Self.Help","Creating.Python.programs","Variables.and.Strings","Basic.syntax","Sequences","Data.types","Numbers","Strings","Lists","Tuples","Dictionaries","Sets","Basic.Math","Operators","Control.Flow","Decision.Control","Conditional.Statements","Loops","Functions","Scoping","Input.and.output","Files","Text","Modules","Modules.and.how.to.use.them","Classes","Exceptions","Errors","Source.Documentation.and.Comments","Idioms","Decorators","Context.Managers","Reflection","Metaclasses","Tips.and.Tricks","Namespace","Standard.Library","Regular.Expression","XML.Tools","Email","Threading","Sockets","GUI.Programming","CGI.interface","WSGI.web.programming","Extracting.info.from.web.pages","Internet","Networks","Databases","Database.Programming","numpy","Qt4","Dbus","matplotlib","Sorted.Container.Types","Extending.with.C","Extending.with.Pyrex","Extending.with.ctypes","Extending.with.Perl"
"resource"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"run"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"scope"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"server"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," ","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"set"," "," "," "," "," "," ","19"," "," "," "," "," "," ","50"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"socket"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "," "," "," "," "," "," "," "
"standard"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"standard library"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"statement"," ","6"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","15"," ","20","15"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"string"," "," "," "," ","58"," "," "," "," ","52"," "," ","5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "," "," "," ","26"," "," "," "," "," "," "," "," ","4"," "," "," "," "," "," "," "," "," "," "," "," "
"syntax"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"syntax error"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"thread"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"time"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"true"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","10"," ","33"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"try"," ","4"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tuple"," "," "," "," "," "," "," "," "," "," "," ","22"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"type"," "," "," ","12"," "," "," ","20","8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "
"value"," "," "," "," ","19"," "," "," "," "," "," ","6","4"," "," ","7"," "," "," "," ","18"," "," "," "," "," "," "," "," "," "," ","18"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
