Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
short flag;short flag;short flags, short flag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
html;html;html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
service url;service url;service url;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
copying;copying;copying;0;0;0;0;0;0;0;1;3;1;0;3;0;0;0;0;0;0;0;0;1;0
document;document;document;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2
composition;composition;composition;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
same time;same time;same time;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
list parameter;list parameter;list parameter;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
development plan;development plan;development plan;0;0;0;0;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
assignment;assignment;assignment;0;10;0;1;0;13;2;4;10;2;0;2;0;1;2;0;1;0;0;0;1;1
function object;function object;function object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
web server;web server;web servers, web server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linear time;linear time;linear time;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
roman numeral representation;roman numeral representation;roman numeral representation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oldmaidhand;oldmaidhand;oldmaidhand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
key-value pair;key-value pair;key-value pair;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
soap server;soap server;soap server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stack;stack;stack;0;0;9;8;2;1;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0
identity;identity;identity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python library reference;python library reference;python library reference;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logical operator;logical operator;logical operator;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conditional execution;conditional execution;conditional execution;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
memory usage;memory usage;memory usage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
try;try;try;2;1;3;0;2;0;2;1;1;3;7;0;2;3;0;0;0;0;0;1;5;0
Queue ADT;queue adt;Queue ADT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
conditional expression;conditional expression;conditional expressions, conditional expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
greatest common divisor;greatest common divisor;greatest common divisor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
client;client;client;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
command;command;command;5;3;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
deck object;deck object;deck object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
override function;override function;override functions, override function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default value;default value;default values, default value;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;0;1;0;0
python exception;python exception;python exception;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comment;comment;comments, comment;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
integer directory;integer directory;integer directory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
unary negation;unary negation;unary negation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
entire xml;entire xml;entire xml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
point class;point class;point class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
manipulation;manipulation;manipulation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
developer kit;developer kit;developer kit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ascii string;ascii string;ascii string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conditional branching;conditional branching;conditional branching;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
setting item;setting item;setting items, setting item;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
web;web;web;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADT;adt;ADT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;0;0;0
import statement;import statement;import statements, import statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arthur conan doyle;arthur conan doyle;arthur conan doyle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hint;hint;hint;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
method initialization;method initialization;method initialization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state diagram;state diagram;state diagram;0;2;1;0;0;1;0;4;1;0;0;2;1;0;0;0;3;0;0;1;0;0
standard error;standard error;standard error;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
character;character;characters, character;0;3;1;1;0;13;35;5;2;0;16;0;0;1;0;0;0;6;0;4;1;0
safe language;safe language;safe language;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working directory;working directory;working directory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ancestor class;ancestor class;ancestor class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
status code;status code;status code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shallow copy;shallow copy;shallow copy;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
input;input;input;1;0;0;11;2;0;0;0;0;0;4;0;1;0;0;0;0;1;0;2;3;0
named argument;named argument;named arguments, named argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
match;match;matches, match;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;33;0;0;0;1;1;0
child node;child node;child node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
same object;same object;same object;0;0;0;0;0;0;0;5;0;2;0;6;0;0;0;0;0;0;0;1;0;1
grains system;grain system;grains system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comparable string;comparable string;comparable string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
command-line flag;command-line flag;command-line flags, command-line flag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
good idea;good idea;good idea;1;1;0;4;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;2;0
boolean expression;boolean expression;boolean expression;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sherlock holme;sherlock holme;sherlock holmes, sherlock holme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
valid roman;valid roman;valid roman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
polymorphism;polymorphism;polymorphism;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
different part;different part;different parts, different part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
integer;integer;integer;0;25;8;7;6;1;1;8;6;14;4;0;2;1;8;0;1;2;1;1;1;12
list concatenation;list concatenation;list concatenation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
human-readable part;human-readable part;human-readable part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
command prompt;command prompt;command prompt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
string;string;strings, string;0;28;7;4;0;6;61;26;6;6;26;1;0;4;12;4;2;15;2;3;9;0
intel;intel;intel;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
long integer;long integer;long integers, long integer;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
split function;split function;split function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
built-in function;built-in function;built-in function;0;0;3;1;3;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
pickling;pickling;pickling;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
alan turing;alan turing;alan turing;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
your project;your project;your project;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
type conversion;type conversion;type conversion;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
big and hairy expression;big and hairy expression;big and hairy expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
index;index;index;0;0;0;0;0;0;33;23;9;9;1;0;0;10;4;1;0;0;2;0;3;0
loop;loop;loops, loop;0;0;0;0;0;36;13;18;8;0;11;0;1;0;10;3;5;0;2;3;15;0
for loop;for loop;for loop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mode;mode;mode;3;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
output buffer;output buffer;output buffer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
url handler;url handler;url handler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python code;python code;python code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
processing instruction;processing instruction;processing instruction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comprehension support;comprehension support;comprehension supports, comprehension support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
assignment statement;assignment statement;assignment statement;0;6;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
sequence;sequence;sequence;2;1;2;1;1;14;0;6;3;0;11;0;0;1;2;0;1;0;0;0;0;0
multiple value;multiple value;multiple values, multiple value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
generic data structure;generic data structure;generic data structure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
extra processing;extra processing;extra processing;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
library;library;libraries, library;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
type coercion;type coercion;type coercion;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same way;same way;same way;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
multiple fraction assignment;multiple fraction assignment;multiple fraction assignment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default method;default method;default method;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
server;server;servers, server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
program control;program control;program control;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function composition;function composition;function composition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soap web;soap web;soap web;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pesky background;pesky background;pesky background;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
abstract class;abstract class;abstract class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same datum;same datum;same data, same datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
integration;integration;integration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
subclass;subclass;subclass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
real file;real file;real files, real file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
everything;everything;everything;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
underlying http;underlying http;underlying http;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
turing thesi;turing thesi;turing thesis, turing thesi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
provider;provider;provider;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
standard output;standard output;standard output;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scientific python;scientific python;scientific python;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hello world;hello world;hello world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
child class;child class;child class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
programming language;programming language;programming languages, programming language;7;2;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1
incremental development plan;incremental development plan;incremental development plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
target dictionary;target dictionary;target dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object;object;objects, object;3;0;0;0;0;0;1;20;1;6;5;49;17;39;24;6;20;3;5;3;1;7
run;run;run;8;1;4;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;1;1;13;0
run command;run command;run command;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
local bin;local bin;local bin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
except statement;except statement;except statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tree;tree;tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0
instantiation;instantiation;instantiation;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
current working;current working;current working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
print usage;print usage;print usage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linked list;linked list;linked list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;3;0;0
uppercase input;uppercase input;uppercase input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arbitrary header;arbitrary header;arbitrary headers, arbitrary header;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
output;output;output;3;4;3;12;4;14;4;0;1;1;1;2;1;0;0;1;1;1;0;3;8;0
method dictionary;method dictionary;method dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__name__;__name__;__name__;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
string length;string length;string length;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stage;stage;stage;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chapter;chapter;chapter;4;2;3;2;2;2;1;1;1;2;1;1;2;4;3;2;1;4;2;3;0;0
removing card;removing card;removing cards, removing card;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
install;install;install;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
extension;extension;extensions, extension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
object code;object code;object code;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
column;column;column;0;0;0;0;0;9;0;2;0;1;1;0;6;0;0;0;0;0;1;0;0;0
last item;last item;last item;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
test suite;test suite;test suite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
numerator;numerator;numerator;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
factorial function;factorial function;factorial function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
error message;error message;error messages, error message;4;1;1;2;1;0;0;0;1;1;4;0;0;1;0;0;0;1;0;1;5;0
numeric character;numeric character;numeric characters, numeric character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parsing xml;parsing xml;parsing xml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
current working directory;current working directory;current working directory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
loop body;loop body;loop body;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
constructor;constructor;constructor;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;2;0;0
return statement;return statement;return statement;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
os;os;os;21;16;24;15;16;10;6;6;11;21;19;8;6;13;11;14;5;20;8;23;20;9
code block;code block;code blocks, code block;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
block;block;block;0;1;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
software;software;software;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
antecedents test;antecedent test;antecedents test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
py;py;py;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
eureka traversal;eureka traversal;eureka traversal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
modifying list;modifying list;modifying lists, modifying list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
built-in support;built-in support;built-in support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
image;image;image;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
float;float;float;0;4;8;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
loop traversal;loop traversal;loop traversal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
equality;equality;equality;0;0;0;0;0;4;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;2
compound statement header;compound statement header;compound statement header;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
runtime error;runtime error;runtime error;6;0;1;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;5;0
immutable string;immutable string;immutable string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operator;operator;operator;0;14;1;23;0;0;7;12;2;1;5;2;0;10;4;2;0;12;3;10;0;6
wsdl proxy;wsdl proxy;wsdl proxy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fraction multiplication;fraction multiplication;fraction multiplication;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
server send;server send;server sends, server send;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
range check;range check;range check;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python database api;python database api;python database api;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class definition;class definition;class definitions, class definition;0;0;0;0;0;0;0;0;0;0;0;3;1;5;4;1;0;1;1;0;0;0
networking;networking;networking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compression;compression;compression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
html version;html version;html version;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
circular buffer;circular buffer;circular buffer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dictionary operand;dictionary operand;dictionary operand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
support;support;supports, support;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;3
python ide;python ide;python ide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
base class;base class;base class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
text editor;text editor;text editor;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
boolean function;boolean function;boolean function;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
fraction;fraction;fraction;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;68
suit;suit;suit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;8;0;0;0;0;0;0
prototype development;prototype development;prototype development;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
map to;map to;map to;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
lambda;lambda;lambda;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function;function;functions, function;0;0;134;30;70;30;16;10;13;15;8;9;34;31;3;0;20;2;3;10;28;2
current instance;current instance;current instance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
permanent redirect;permanent redirect;permanent redirect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compound statement block;compound statement block;compound statement block;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
keyerror;keyerror;keyerror;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0
histogram;histogram;histogram;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0
link;link;link;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0
scope;scope;scope;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
com api;com api;com apis, com api;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
line;line;line;10;5;23;4;7;13;2;0;0;1;11;2;1;0;2;0;4;0;2;1;9;2
local variable;local variable;local variable;0;0;4;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
true;true;true;0;0;0;15;8;3;0;3;0;3;6;3;1;0;4;0;3;0;0;5;0;2
object-oriented programming language;object-oriented programming language;object-oriented programming language;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
linked implementation;linked implementation;linked implementation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wsgi server;wsgi server;wsgi servers, wsgi server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
method invocation;method invocation;method invocation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
well-formedlist;well-formedlist;well-formedlist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operating system;operating system;operating system;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
block statement;block statement;block statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default;default;default;0;0;0;0;0;0;0;1;0;0;1;0;0;10;1;2;1;0;0;2;0;1
terminal program;terminal program;terminal program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fraction addition;fraction addition;fraction addition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
tree node traversal;tree node traversal;tree node traversal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
empty list;empty list;empty list;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;5;2;0;0;0;0
python setup;python setup;python setup;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
invalid roman;invalid roman;invalid roman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tag name;tag name;tag name;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distribution;distribution;distribution;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python documentation;python documentation;python documentation;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
puppet master;puppet master;puppet master;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sparsematrix;sparsematrix;sparsematrix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
last occurrence;last occurrence;last occurrence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list creation;list creation;list creation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
values test;value test;values test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
int;int;int;0;4;7;0;1;0;1;0;2;1;0;0;0;1;0;0;0;1;0;2;0;2
while loop;while loop;while loop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
package;package;packages, package;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
returns true;return true;returns true;0;0;0;0;1;0;0;1;0;1;2;0;0;0;3;0;0;0;0;3;0;2
coding class;coding class;coding classes, coding class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
unit testing;unit testing;unit testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
file;file;files, file;8;0;6;2;0;0;0;0;0;2;70;0;0;0;0;0;0;0;0;1;2;1
