Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
running code;running code;running code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
high-level language;high-level language;high-level language;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
path;path;path;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0
error messages syntax;error message syntax;error messages syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
natural way;natural way;natural way;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0
interpret;interpret;interpret;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
preorder;preorder;preorder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
search;search;search;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
modifier;modifier;modifier;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0
python tutorial;python tutorial;python tutorial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
template engine;template engine;template engine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
step;step;step;1;0;0;0;7;3;0;3;4;0;0;0;1;1;1;1;1;0;0;1;4;1
queue;queue;queue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0
file object;file object;file objects, file object;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
delimiter;delimiter;delimiter;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;5;0;0;0;0
abstraction layer;abstraction layer;abstraction layers, abstraction layer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml document;xml document;xml documents, xml document;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
argument name;argument name;argument name;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
web page;web page;web pages, web page;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
match object;match object;match objects, match object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
text substitution;text substitution;text substitutions, text substitution;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
accessories folder;accessory folder;accessories folder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shuffle;shuffle;shuffle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0
verbose;verbose;verbose;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pentium;pentium;pentium;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
